Hidden_Nodes,Activation,Lambda_Value,Fold,ELM_Seed,Accuracy,Precision,Recall,NPV,Specificity,F1-Score,F2-Score,Bal Accuracy,MCC
5,sigmoid,0.0,1,157,0.5686274509803921,0.56,0.56,0.5769230769230769,0.5769230769230769,0.56,0.56,0.5684615384615385,0.13692307692307693
5,sigmoid,0.0,1,158,0.6862745098039216,0.6956521739130435,0.64,0.6785714285714286,0.7307692307692307,0.6666666666666666,0.6504065040650406,0.6853846153846154,0.3724924123104497
5,sigmoid,0.0,1,159,0.6078431372549019,0.6086956521739131,0.56,0.6071428571428571,0.6538461538461539,0.5833333333333334,0.5691056910569106,0.6069230769230769,0.21484002203797722
5,sigmoid,0.0,1,160,0.5294117647058824,0.5185185185185185,0.56,0.5416666666666666,0.5,0.5384615384615384,0.5511811023622047,0.53,0.06009252125773316
5,sigmoid,0.0,2,131,0.6862745098039216,0.7142857142857143,0.6,0.6666666666666666,0.7692307692307693,0.6521739130434783,0.6198347107438017,0.6846153846153846,0.37504578475079636
5,sigmoid,0.0,2,132,0.6274509803921569,0.6153846153846154,0.64,0.64,0.6153846153846154,0.6274509803921569,0.6349206349206349,0.6276923076923078,0.2553846153846154
5,sigmoid,0.0,2,133,0.5686274509803921,0.5714285714285714,0.48,0.5666666666666667,0.6538461538461539,0.5217391304347826,0.49586776859504134,0.5669230769230769,0.13595409697216368
5,sigmoid,0.0,2,134,0.6078431372549019,0.6,0.6,0.6153846153846154,0.6153846153846154,0.6,0.6,0.6076923076923078,0.2153846153846154
5,sigmoid,0.0,2,135,0.6274509803921569,0.625,0.6,0.6296296296296297,0.6538461538461539,0.6122448979591837,0.6048387096774194,0.6269230769230769,0.25423758993656337
5,sigmoid,0.0,2,136,0.6666666666666666,0.6818181818181818,0.6,0.6551724137931034,0.7307692307692307,0.6382978723404256,0.6147540983606558,0.6653846153846154,0.33386542211916725
5,sigmoid,0.0,2,137,0.49019607843137253,0.47619047619047616,0.4,0.5,0.5769230769230769,0.43478260869565216,0.4132231404958678,0.48846153846153845,-0.023440361546924773
5,sigmoid,0.0,2,138,0.5686274509803921,0.5714285714285714,0.48,0.5666666666666667,0.6538461538461539,0.5217391304347826,0.49586776859504134,0.5669230769230769,0.13595409697216368
5,sigmoid,0.0,2,139,0.47058823529411764,0.45,0.36,0.4838709677419355,0.5769230769230769,0.4,0.375,0.46846153846153843,-0.06458495088558402
5,sigmoid,0.0,2,140,0.5098039215686274,0.5,0.4,0.5161290322580645,0.6153846153846154,0.4444444444444444,0.4166666666666667,0.5076923076923077,0.015752427045264396
5,sigmoid,0.0,2,141,0.5882352941176471,0.5714285714285714,0.64,0.6086956521739131,0.5384615384615384,0.6037735849056604,0.625,0.5892307692307692,0.17929095364320402
5,sigmoid,0.0,2,142,0.6470588235294118,0.6521739130434783,0.6,0.6428571428571429,0.6923076923076923,0.625,0.6097560975609756,0.6461538461538461,0.2936662171742135
