Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,93,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,94,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,95,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,96,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,97,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,98,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,99,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,102,100,0.7067286885464441
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,1,0.5774124868293322
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,2,0.5774124868293322
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,3,0.5774124868293322
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,4,0.5774124868293322
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,5,0.5774124868293322
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,6,0.5828563362791677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,7,0.5828563362791677
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,8,0.6185089580654177
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,9,0.6185089580654177
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,10,0.6185089580654177
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,11,0.6185089580654177
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,12,0.6185089580654177
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,13,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,14,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,15,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,16,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,17,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,18,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,19,0.6400119870399972
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,20,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,21,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,22,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,23,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,24,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,25,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,26,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,27,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,28,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,29,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,30,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,31,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,32,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,33,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,34,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,35,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,36,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,37,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,38,0.6658945536709369
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,39,0.6680933350439675
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,40,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,41,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,42,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,43,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,44,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,45,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,46,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,47,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,48,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,49,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,50,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,51,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,52,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,53,0.6867119014337413
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,54,0.6932285033840473
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,55,0.6932285033840473
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,56,0.6935196207731023
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,57,0.6935196207731023
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,58,0.6935196207731023
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,59,0.6971027316375284
